content,annotation,extras
 Get fucking real dude.,"{'notes': '', 'label': ['1']}",
 She is as dirty as they come  and that crook Rengel  the Dems are so fucking corrupt it's a joke. Make Republicans look like  ...,"{'notes': '', 'label': ['1']}",
 why did you fuck it up. I could do it all day too. Let's do it when you have an hour. Ping me later to sched writing a book here.,"{'notes': '', 'label': ['1']}",
 Dude they dont finish enclosing the fucking showers. I hate half assed jobs. Whats the reasononing behind it? Makes no sense.,"{'notes': '', 'label': ['1']}",
 WTF are you talking about Men? No men thats not a menage  that's just gay.,"{'notes': '', 'label': ['1']}",
Ill save you the trouble sister. Here comes a big ol fuck France block coming your way here on the twitter.,"{'notes': '', 'label': ['1']}",
 Im dead serious.Real athletes never cheat don't even have the appearance of at his level. Fuck him dude seriously  I think he did,"{'notes': '', 'label': ['1']}",
...go absolutely insane.hate to be the bearer of bad news..LoL..dont shoot the messenger (cause we all know you bought that pistol,"{'notes': '', 'label': ['1']}",
"Lmao  im watching the same thing ahaha. The gay guy is hilarious! ""Dede having a good day and I dont want anyone to mess it up.""","{'notes': '', 'label': ['1']}",
LOL  no he said  What do you call a jail cell to a gay guy? Paradise! ahaha.,"{'notes': '', 'label': ['1']}",
truth on both counts that guy is an ass  and their product is sub par. I tell people try Dalesandros orJim's,"{'notes': '', 'label': ['1']}",
Shakespeare nerd!,"{'notes': '', 'label': ['1']}",
you are SUCH a fucking dork,"{'notes': '', 'label': ['1']}",
Heh. Fuck 'em WHERE?!?,"{'notes': '', 'label': ['1']}",
damn it i totally forgot that one!,"{'notes': '', 'label': ['1']}",
wow  damn I would have been pissed @ that...,"{'notes': '', 'label': ['1']}",
nigga u geigh lmao! fuck yo finals beeeeeitch,"{'notes': '', 'label': ['1']}",
that sucks :(,"{'notes': '', 'label': ['1']}",
"read that this morning. my fav is how they just straight up say ""cum shots""","{'notes': '', 'label': ['1']}",
Unibroue 17 !!!! Another damn good Unibroue,"{'notes': '', 'label': ['1']}",
damn your evil 60 minute IPA beckoning me from the fridge right now...,"{'notes': '', 'label': ['1']}",
It did  then my fucking dad turned it off. I just don't think it likes your movies. I was tryin to watch Nanny Diaries.,"{'notes': '', 'label': ['1']}",
it pretty much is a fuck you card..,"{'notes': '', 'label': ['1']}",
that karma is a bitch  HUH,"{'notes': '', 'label': ['1']}",
don't get too fat or you'll turn into a boomer,"{'notes': '', 'label': ['1']}",
the hormones are worse for guys.  I cant tell you how much I truly hate the thoughts that go through my head.,"{'notes': '', 'label': ['1']}",
except for joe jonas the ass munch who broke up w/our tyler via phone..kinda like doing via text - what kind of a-hole does that?,"{'notes': '', 'label': ['1']}",
man that rly sucks. I for 1 am positive that all will work out. You're a bright dude... pretty cool 2 if I don't say so myself.,"{'notes': '', 'label': ['1']}",
hard to kick ass yourself with slippers on?  On it.,"{'notes': '', 'label': ['1']}",
Thats pretty damn awesome! Very smart :) @Aaronage Sure!,"{'notes': '', 'label': ['1']}",
freak'n awesome. so far loving 4.5. the browser is fantastic. and finally video  pretty cool,"{'notes': '', 'label': ['1']}",
Damn  that sounds good...,"{'notes': '', 'label': ['1']}",
they should have a wii loser..that way you can compete with your wii friends.,"{'notes': '', 'label': ['1']}",
@markmancao haha. i love it! gay nights for all!,"{'notes': '', 'label': ['1']}",
that's awesome! you're pretty damn good!,"{'notes': '', 'label': ['1']}",
Faggoty fag fag. Gay secks man blowjob. Settle down.,"{'notes': '', 'label': ['1']}",
Right. That wouldn't be creepy as fuck.,"{'notes': '', 'label': ['1']}",
HOLY SHIT. Fuck that band.,"{'notes': '', 'label': ['1']}",
Gay fag.,"{'notes': '', 'label': ['1']}",
oh ok it's the dick-in-a-box guys  that explains the timberlake appearance,"{'notes': '', 'label': ['1']}",
*falls off of bed laughing fabulous ass off* Dude I think that made me BLUSH. WTF? LOL?,"{'notes': '', 'label': ['1']}",
and @justlikeanovel: *raises hand rather gaily* One real gay man right here  darlings! HOLLA! #supergay,"{'notes': '', 'label': ['1']}",
